Day,Hoilday
02/01/2017,TRUE
28/01/2017,TRUE
30/01/2017,TRUE
31/01/2017,TRUE
04/04/2017,TRUE
14/04/2017,TRUE
15/04/2017,TRUE
17/04/2017,TRUE
01/05/2017,TRUE
03/05/2017,TRUE
30/05/2017,TRUE
01/07/2017,TRUE
02/10/2017,TRUE
05/10/2017,TRUE
28/10/2017,TRUE
25/12/2017,TRUE
26/12/2017,TRUE
01/01/2018,TRUE
16/02/2018,TRUE
17/02/2018,TRUE
19/02/2018,TRUE
30/03/2018,TRUE
31/03/2018,TRUE
02/04/2018,TRUE
05/04/2018,TRUE
01/05/2018,TRUE
22/05/2018,TRUE
18/06/2018,TRUE
02/07/2018,TRUE
25/09/2018,TRUE
01/10/2018,TRUE
17/10/2018,TRUE
25/12/2018,TRUE
26/12/2018,TRUE
